Schwarz,#000000
Dunkles Schiefergrau,#8FBC8F
Schiefergrau,#708090
Helles Schiefergrau,#778899
Helles Stahlblau,#B0C4DE
Mattes Grau,#696969
Grau,#808080
Dunkelgrau,#A9A9A9
Silber,#C0C0C0
Hellgrau,#D3D3D3
Gainsboro,#DCDCDC
Rauchiges Weiß,#F5F5F5
Geisterweiß,#F8F8FF
Weiß,#FFFFFF
Schneeweiß,#FFFAFA
Elfenbein,#FFFFF0
Blütenweiß,#FFFAF0
Muschel,#FFF5EE
Altgold,#FDF5E6
Leinenfarbe,#FAF0E6
Antikes Weiß,#FAEBD7
Mandelweiß,#FFEBCD
Cremiges Papaya,#FFEFD5
Beige,#F5F5DC
Mais,#FFF8DC
Helles Goldrutengelb,#FAFAD2
Hellgelb,#FFFFE0
Chiffongelb,#FFFACD
Blasse Goldrutenfarbe,#EEE8AA
Khaki,#F0E68C
Gelb,#FFFF00
Gold,#FFD700
Orange,#FFA500
Dunkles Orange,#FF8C00
Goldrute,#DAA520
dunkle Goldrutenfarbe,#B8860B
Peru,#CD853F
Schokolade,#D2691E
Sattelbraun,#8B4513
Ocker,#A0522D
Braun,#A52A2A
Dunkelrot,#8B0000
Kastanienbraun,#800000
Ziegelfarbe,#B22222
Indischrot,#CD5C5C
Karmesinrot,#DC143C
Rot,#FF0000
Orangenrot,#FF4500
Tomatenrot,#FF6347
Koralle,#FF7F50
Lachs,#FA8072
Helles Korallenrot,#F08080
Dunkle Lachsfarbe,#E9967A
Helle Lachsfarbe,#FFA07A
Sandbraun,#F4A460
Rosiges Braun,#BC8F8F
Gelbbraun,#D2B48C
Grobes Braun,#DEB887
Weizen,#F5DEB3
Pfirsich,#FFDAB9
Navajoweiß,#FFDEAD
Tomatencreme,#FFE4C4
Rosige Lavenderfarbe,#FFF0F5
Altrosa,#FFE4E1
Rosa,#FFC0CB
Hellrosa,#FFB6C1
Leuchtendes Rosa,#FF69B4
Fuchsie,#FF00FF
Magentarot,#FF00FF
Tiefrosa,#FF1493
Mittleres Violettrot,#C71585
Blasses Violettrot,#DB7093
Pflaume,#DDA0DD
Distel,#D8BFD8
Lavendelfarbe,#E6E6FA
Violett,#EE82EE
Orchidee,#DA70D6
Dunkles Magentarot,#8B008B
Violett,#800080
Indigo,#4B0082
Blauviolett,#8A2BE2
Dunkles Violett,#9400D3
Dunkle Orchideenfarbe,#9932CC
Mittleres Violett,#9370DB
Mittlere Orchideenfarbe,#BA55D3
Mittleres Schieferblau,#7B68EE
Schieferblau,#6A5ACD
Dunkles Schieferblau,#483D8B
Mitternachtsblau,#191970
Marineblau,#000080
Dunkelblau,#00008B
Mittelblau,#0000CD
Blau,#0000FF
Königsblau,#4169E1
Stahlblau,#4682B4
Kornblumenblau,#6495ED
Dodger-Blau,#1E90FF
Tiefes Himmelblau,#00BFFF
Helles Himmelblau,#87CEFA
Himmelblau,#87CEEB
Hellblau,#ADD8E6
Zyanblau,#00FFFF
Blaugrün,#00FFFF
Taubenblau,#B0E0E6
Helles Cyanblau,#E0FFFF
Aliceblau,#A0CE00
Himmelblau,#F0FFFF
Cremig Pfefferminz,#F5FFFA
Honigmelone,#F0FFF0
Aquamarinblau,#7FFFD4
Türkis,#40E0D0
Blasses Türkis,#AFEEEE
Mittleres Türkis,#48D1CC
Dunkles Türkis,#00CED1
Mittleres Aquamarinblau,#66CDAA
Helles Seegrün,#20B2AA
Dunkles Zyanblau,#008B8B
Entenbraun,#008080
Kadettblau,#5F9EA0
Mittleres Seegrün,#3CB371
Dunkles Seegrün,#8FBC8F
Hellgrün,#90EE90
Blassgrün,#98FB98
Mittleres Frühlingsgrün,#00FA9A
Frühlingsgrün,#00FF7F
Zitronengrün,#00FF00
Gelbgrün,#32CD32
Seegrün,#2E8B57
Waldgrün,#228B22
Grün,#008000
Dunkelgrün,#006400
Olivfarbiges Graubraun,#6B8E23
Dunkles Olivgrün,#556B2F
Olivgrün,#808000
Dunkles Khaki,#BDB76B
Gelbgrün,#9ACD32
Hellgrün,#7FFF00
Grüngelb,#ADFF2F
