model_name,time (best),time (avg),time (std),size (best),size (avg),size (std),perf (exp),perf (std)
qt_strategy,0.0,0.0,0.0,1900.0,1900.0,0.0,0.003,0.00339547
dt_original,16.79213067299861,16.79213067299861,0.0,76141.0,76141.0,0.0,0.006,0.00479469
old_max_parts,121.53119273101038,121.53119273101038,0.0,6692.0,6692.0,0.0,0.0,0.0
dt_old_max_parts,149.74943618901307,149.74943618901307,0.0,11858.0,11858.0,0.0,0.015,0.00754667
new_max_parts,116.3475418080052,116.3475418080052,0.0,17168.0,17168.0,0.0,0.0,0.0
dt_new_max_parts,216.0092895330017,216.0092895330017,0.0,19047.0,19047.0,0.0,0.0,0.0
new_max_parts_trans,573.118451340968,573.118451340968,0.0,5193.0,5193.0,0.0,0.0,0.0
dt_new_max_parts_trans,587.7151745209703,587.7151745209703,0.0,7085.0,7085.0,0.0,0.008,0.00553086
dt_prune_10,3.6431801419967087,3.6431801419967087,0.0,1105.0,1105.0,0.0,0.406,0.0358361
dt_prune_1,0.3042629429983208,0.3042629429983208,0.0,154.0,154.0,0.0,2.162,0.0614541
dt_prune_100,9.674104509002063,9.674104509002063,0.0,2445.0,2445.0,0.0,0.05,0.0138132
